gene_symbol, H3k27me3, H3k36me3, expression, MAE(T/F), tissue, organism
c1orf51, , , 0.434, 1, GM12878, human
c1orf51, , , 0.425, 1, K562, human
c1orf51, , , 0.494, 1, H1ESC, human
c1orf51, , , 0.440, 0, HSMM, human
c1orf51, , , 0.472, 0, HUVEC, human
c1orf51, , , 0.473, 0, HMEC, human
c1orf51, , , 0.399, 1, HCC1954, human
c1orf51, , , 0.434, 1, PBMC, human
c1orf51, , , , NA, B_Cell, human
nr1d1, 0.536, 0.674, 0.883, 0, Fibroblast, mouse
nr1d1, 0.095, 0.431, 0.611, 0, Bcellcd43n, mouse
nr1d1, 0.209, 0.849, 0.959, 0, Heart, mouse
nr1d1, 0.339, 0.888, 0.920, 0, Kidney, mouse
nr1d1, 0.268, 0.818, 0.960, 0, Liver, mouse
nr1d1, 0.332, 0.907, 0.949, 0, SmIntestine, mouse
nr1d1, 0.133, 0.568, 0.799, 0, Spleen, mouse
nr1d1, 0.800, 0.575, 0.711, 1, Testis, mouse
nr1d1, 0.051, 0.505, 0.817, 0, Thymus, mouse
nr1d1, 0.036, 0.649, 0.953, 0, C2C12_EqS, mouse
nr1d1, 0.147, 0.839, 0.905, 0, C2C12, mouse
nr1d1, 0.770, 0.520, 0.555, 1, CH12, mouse
nr1d1, 0.141, 0.607, 0.967, 0, E14_WholeBrain, mouse
nr1d1, 0.382, 0.653, 0.880, 0, Erythroblast, mouse
nr1d1, 0.290, 0.655, 0.697, 0, ESBruce4, mouse
nr1d1, 0.483, 0.818, 0.790, 0, ES, mouse
nr1d1, 0.195, 0.619, 0.641, 0, G1E_ER, mouse
nr1d1, 0.544, 0.705, 0.690, 0, G1E, mouse
nr1d1, 0.350, 0.627, 0.605, 0, Lymphoblast, mouse
nr1d1, 0.314, 0.791, 0.930, 0, Megakaryocyte, mouse
nr1d1, 0.176, 0.954, 0.702, 0, MEL, mouse
nr1d1, 0.709, 0.729, 0.786, 0, NeuronalProgenitor_(EMTAB1822), mouse
nr1d1, 0.709, 0.729, 0.786, 0, NeuronalProgenitor_(GSE54016), mouse
nr1d1, 0.518, 0.897, 0.977, 0, Neuron, mouse
nr1d1, , , , NA, Lymphoblast_PMC3334567, mouse
nr1d1, , , 0.549, 0, GM12878, human
nr1d1, , , 0.561, 0, K562, human
nr1d1, , , 0.492, 1, H1ESC, human
nr1d1, , , 0.538, 0, HSMM, human
nr1d1, , , 0.494, 0, HUVEC, human
nr1d1, , , 0.663, 0, HMEC, human
nr1d1, , , 0.565, 0, HCC1954, human
nr1d1, , , 0.549, 0, PBMC, human
nr1d1, , , , NA, B_Cell, human
per3, 0.451, 0.695, 0.522, 0, Fibroblast, mouse
per3, 0.320, 0.553, 0.603, 0, Bcellcd43n, mouse
per3, 0.320, 0.734, 0.828, 0, Heart, mouse
per3, 0.187, 0.872, 0.716, 0, Kidney, mouse
per3, 0.412, 0.887, 0.841, 0, Liver, mouse
per3, 0.460, 0.823, 0.794, 0, SmIntestine, mouse
per3, 0.317, 0.583, 0.541, 0, Spleen, mouse
per3, 0.276, 0.777, 0.492, 0, Testis, mouse
per3, 0.430, 0.513, 0.575, 0, Thymus, mouse
per3, 0.317, 0.704, 0.555, 0, C2C12_EqS, mouse
per3, 0.410, 0.683, 0.544, 0, C2C12, mouse
per3, 0.561, 0.518, 0.440, 1, CH12, mouse
per3, 0.583, 0.595, 0.450, 1, E14_WholeBrain, mouse
per3, 0.378, 0.628, 0.537, 0, Erythroblast, mouse
per3, 0.545, 0.515, 0.619, 1, ESBruce4, mouse
per3, 0.573, 0.604, 0.576, 1, ES, mouse
per3, 0.324, 0.601, 0.571, 0, G1E_ER, mouse
per3, 0.464, 0.580, 0.551, 0, G1E, mouse
per3, 0.452, 0.530, 0.479, 0, Lymphoblast, mouse
per3, 0.520, 0.839, 0.776, 0, Megakaryocyte, mouse
per3, 0.188, 0.403, 0.554, 0, MEL, mouse
per3, 0.445, 0.642, 0.589, 0, NeuronalProgenitor_(EMTAB1822), mouse
per3, 0.445, 0.642, 0.589, 0, NeuronalProgenitor_(GSE54016), mouse
per3, 0.401, 0.866, 0.567, 0, Neuron, mouse
per3, , , , NA, Lymphoblast_PMC3334567, mouse
per3, , , 0.395, 1, GM12878, human
per3, , , 0.626, 0, K562, human
per3, , , 0.510, 1, H1ESC, human
per3, , , 0.540, 0, HSMM, human
per3, , , 0.429, 0, HUVEC, human
per3, , , 0.497, 0, HMEC, human
per3, , , 0.532, 0, HCC1954, human
per3, , , 0.395, 0, PBMC, human
per3, , , , NA, B_Cell, human
per2, 0.472, 0.565, 0.461, 1, Fibroblast, mouse
per2, 0.235, 0.623, 0.595, 0, Bcellcd43n, mouse
per2, 0.167, 0.735, 0.709, 0, Heart, mouse
per2, 0.133, 0.687, 0.730, 0, Kidney, mouse
per2, 0.092, 0.675, 0.736, 0, Liver, mouse
per2, 0.270, 0.824, 0.786, 0, SmIntestine, mouse
per2, 0.205, 0.615, 0.577, 0, Spleen, mouse
per2, 0.214, 0.665, 0.355, 0, Testis, mouse
per2, 0.216, 0.428, 0.427, 0, Thymus, mouse
per2, 0.350, 0.746, 0.538, 0, C2C12_EqS, mouse
per2, 0.437, 0.638, 0.505, 0, C2C12, mouse
per2, 0.313, 0.718, 0.604, 0, CH12, mouse
per2, 0.391, 0.628, 0.433, 0, E14_WholeBrain, mouse
per2, 0.548, 0.685, 0.598, 0, Erythroblast, mouse
per2, 0.596, 0.189, 0.276, 1, ESBruce4, mouse
per2, 0.851, 0.441, 0.362, 1, ES, mouse
per2, 0.364, 0.693, 0.671, 0, G1E_ER, mouse
per2, 0.430, 0.814, 0.716, 0, G1E, mouse
per2, 0.298, 0.793, 0.628, 0, Lymphoblast, mouse
per2, 0.677, 0.669, 0.612, 0, Megakaryocyte, mouse
per2, 0.341, 0.555, 0.610, 0, MEL, mouse
per2, 0.849, 0.499, 0.436, 1, NeuronalProgenitor_(EMTAB1822), mouse
per2, 0.849, 0.499, 0.436, 1, NeuronalProgenitor_(GSE54016), mouse
per2, 0.598, 0.932, 0.500, 0, Neuron, mouse
per2, , , , NA, Lymphoblast_PMC3334567, mouse
per2, , , 0.586, 0, GM12878, human
per2, , , 0.523, 0, K562, human
per2, , , 0.447, 1, H1ESC, human
per2, , , 0.476, 0, HSMM, human
per2, , , 0.487, 0, HUVEC, human
per2, , , 0.492, 0, HMEC, human
per2, , , 0.482, 0, HCC1954, human
per2, , , 0.586, 0, PBMC, human
per2, , , , NA, B_Cell, human
kcnh4, 0.933, 0.167, 0.203, 1, Fibroblast, mouse
kcnh4, 0.647, 0.503, 0.515, 1, Bcellcd43n, mouse
kcnh4, 0.894, 0.199, 0.223, 1, Heart, mouse
kcnh4, 0.494, 0.317, 0.482, 1, Kidney, mouse
kcnh4, 0.829, 0.274, 0.195, 1, Liver, mouse
kcnh4, 0.935, 0.310, 0.207, 1, SmIntestine, mouse
kcnh4, 0.716, 0.457, 0.205, 1, Spleen, mouse
kcnh4, 0.757, 0.252, 0.117, 1, Testis, mouse
kcnh4, 0.548, 0.347, 0.415, 1, Thymus, mouse
kcnh4, 0.970, 0.235, 0.354, 1, C2C12_EqS, mouse
kcnh4, 0.975, 0.228, 0.114, 1, C2C12, mouse
kcnh4, 0.411, 0.704, 0.600, 0, CH12, mouse
kcnh4, 0.897, 0.674, 0.609, 1, E14_WholeBrain, mouse
kcnh4, 0.931, 0.425, 0.520, 1, Erythroblast, mouse
kcnh4, 0.699, 0.329, 0.336, 1, ESBruce4, mouse
kcnh4, 0.905, 0.508, 0.447, 1, ES, mouse
kcnh4, 0.921, 0.537, 0.567, 1, G1E_ER, mouse
kcnh4, 0.941, 0.555, 0.516, 1, G1E, mouse
kcnh4, 0.563, 0.540, 0.437, 1, Lymphoblast, mouse
kcnh4, 0.912, 0.427, 0.315, 1, Megakaryocyte, mouse
kcnh4, 0.585, 0.427, 0.429, 1, MEL, mouse
kcnh4, 0.910, 0.478, 0.479, 1, NeuronalProgenitor_(EMTAB1822), mouse
kcnh4, 0.910, 0.478, 0.479, 1, NeuronalProgenitor_(GSE54016), mouse
kcnh4, 0.894, 0.679, 0.692, 1, Neuron, mouse
kcnh4, , , , NA, Lymphoblast_PMC3334567, mouse
kcnh4, , , 0.399, 1, GM12878, human
kcnh4, , , 0.484, 1, K562, human
kcnh4, , , 0.134, 1, H1ESC, human
kcnh4, , , 0.275, 1, HSMM, human
kcnh4, , , 0.376, 1, HUVEC, human
kcnh4, , , 0.250, 1, HMEC, human
kcnh4, , , 0.249, 0, HCC1954, human
kcnh4, , , 0.399, 1, PBMC, human
kcnh4, , , , NA, B_Cell, human
nr1d2, , , , NA, Fibroblast, mouse
nr1d2, 0.546, 0.717, 0.717, 0, Bcellcd43n, mouse
nr1d2, 0.223, 0.948, 0.889, 0, Heart, mouse
nr1d2, 0.319, 0.861, 0.844, 0, Kidney, mouse
nr1d2, 0.105, 0.872, 0.884, 0, Liver, mouse
nr1d2, 0.103, 0.706, 0.903, 0, SmIntestine, mouse
nr1d2, 0.366, 0.662, 0.693, 0, Spleen, mouse
nr1d2, 0.658, 0.786, 0.685, 0, Testis, mouse
nr1d2, 0.202, 0.615, 0.711, 0, Thymus, mouse
nr1d2, 0.329, 0.793, 0.649, 0, C2C12_EqS, mouse
nr1d2, 0.286, 0.695, 0.640, 0, C2C12, mouse
nr1d2, 0.433, 0.524, 0.613, 0, CH12, mouse
nr1d2, 0.447, 0.465, 0.467, 0, E14_WholeBrain, mouse
nr1d2, 0.393, 0.465, 0.500, 0, Erythroblast, mouse
nr1d2, 0.422, 0.761, 0.620, 0, ESBruce4, mouse
nr1d2, 0.299, 0.599, 0.675, 0, ES, mouse
nr1d2, 0.550, 0.519, 0.541, 1, G1E_ER, mouse
nr1d2, 0.595, 0.489, 0.543, 1, G1E, mouse
nr1d2, 0.438, 0.500, 0.587, 0, Lymphoblast, mouse
nr1d2, 0.495, 0.449, 0.353, 1, Megakaryocyte, mouse
nr1d2, 0.346, 0.720, 0.788, 0, MEL, mouse
nr1d2, 0.395, 0.523, 0.559, 0, NeuronalProgenitor_(EMTAB1822), mouse
nr1d2, 0.395, 0.523, 0.559, 0, NeuronalProgenitor_(GSE54016), mouse
nr1d2, 0.318, 0.593, 0.574, 0, Neuron, mouse
nr1d2, , , , NA, Lymphoblast_PMC3334567, mouse
nr1d2, , , 0.591, 0, GM12878, human
nr1d2, , , 0.558, 0, K562, human
nr1d2, , , 0.726, 0, H1ESC, human
nr1d2, , , 0.673, 0, HSMM, human
nr1d2, , , 0.759, 0, HUVEC, human
nr1d2, , , 0.575, 0, HMEC, human
nr1d2, , , 0.695, 0, HCC1954, human
nr1d2, , , 0.591, 0, PBMC, human
nr1d2, , , , NA, B_Cell, human
per1, 0.589, 0.917, 0.771, 0, Fibroblast, mouse
per1, 0.616, 0.982, 0.964, 0, Bcellcd43n, mouse
per1, 0.170, 0.749, 0.937, 0, Heart, mouse
per1, 0.173, 0.878, 0.890, 0, Kidney, mouse
per1, 0.461, 0.874, 0.878, 0, Liver, mouse
per1, 0.531, 0.973, 0.850, 0, SmIntestine, mouse
per1, 0.260, 0.923, 0.884, 0, Spleen, mouse
per1, 0.447, 0.915, 0.921, 0, Testis, mouse
per1, 0.128, 0.788, 0.846, 0, Thymus, mouse
per1, 0.109, 0.839, 0.816, 0, C2C12_EqS, mouse
per1, 0.248, 0.729, 0.748, 0, C2C12, mouse
per1, 0.291, 0.972, 0.890, 0, CH12, mouse
per1, 0.673, 0.873, 0.672, 0, E14_WholeBrain, mouse
per1, 0.360, 0.838, 0.896, 0, Erythroblast, mouse
per1, 0.304, 0.757, 0.721, 0, ESBruce4, mouse
