gene_symbol, MAE(T/F), tissue, organism
il12rb2, NA, B_Cell,mouse
il12rb2, NA, B_Cell,mouse
il12rb2, 1, B_Cell,mouse
il12rb2, NA, B_Cell,mouse
il12rb2, NA, B_Cell,mouse
uts2, NA, B_Cell,mouse
uts2, NA, B_Cell,mouse
uts2, NA, B_Cell,mouse
uts2, NA, B_Cell,mouse
uts2, NA, B_Cell,mouse
thap3, 1, B_Cell,mouse
thap3, NA, B_Cell,mouse
thap3, 0, B_Cell,mouse
thap3, 1, B_Cell,mouse
thap3, 1, B_Cell,mouse
cacna1e, NA, B_Cell,mouse
cacna1e, NA, B_Cell,mouse
cacna1e, 1, B_Cell,mouse
cacna1e, NA, B_Cell,mouse
cacna1e, NA, B_Cell,mouse
cacna1e, NA, B_Cell,human
cacna1e, 1, B_Cell,human
acot11, NA, B_Cell,mouse
acot11, 0, B_Cell,mouse
acot11, 1, B_Cell,mouse
acot11, 1, B_Cell,mouse
acot11, NA, B_Cell,mouse
acot11, NA, B_Cell,human
acot11, NA, B_Cell,human
lrrtm1, NA, B_Cell,mouse
lrrtm1, NA, B_Cell,mouse
lrrtm1, 0, B_Cell,mouse
lrrtm1, 1, B_Cell,mouse
lrrtm1, NA, B_Cell,mouse
tmem247, NA, B_Cell,mouse
tmem247, NA, B_Cell,mouse
tmem247, NA, B_Cell,mouse
tmem247, NA, B_Cell,mouse
tmem247, NA, B_Cell,mouse
thumpd2, NA, B_Cell,mouse
thumpd2, 1, B_Cell,mouse
thumpd2, 0, B_Cell,mouse
thumpd2, 0, B_Cell,mouse
thumpd2, NA, B_Cell,mouse
thumpd2, NA, B_Cell,human
thumpd2, 0, B_Cell,human
pax8, NA, B_Cell,mouse
pax8, NA, B_Cell,mouse
pax8, NA, B_Cell,mouse
pax8, NA, B_Cell,mouse
pax8, NA, B_Cell,mouse
pax8, NA, B_Cell,human
pax8, NA, B_Cell,human
ica1l, NA, B_Cell,mouse
ica1l, 1, B_Cell,mouse
ica1l, 1, B_Cell,mouse
ica1l, 1, B_Cell,mouse
ica1l, NA, B_Cell,mouse
ica1l, NA, B_Cell,human
ica1l, NA, B_Cell,human
gpr1, NA, B_Cell,mouse
gpr1, NA, B_Cell,mouse
gpr1, NA, B_Cell,mouse
gpr1, NA, B_Cell,mouse
gpr1, NA, B_Cell,mouse
zdbf2, NA, B_Cell,mouse
zdbf2, NA, B_Cell,mouse
zdbf2, 1, B_Cell,mouse
zdbf2, NA, B_Cell,mouse
zdbf2, NA, B_Cell,mouse
mrpl44, NA, B_Cell,mouse
mrpl44, 0, B_Cell,mouse
mrpl44, 0, B_Cell,mouse
mrpl44, 0, B_Cell,mouse
mrpl44, NA, B_Cell,mouse
mrpl44, NA, B_Cell,human
mrpl44, NA, B_Cell,human
sphkap, NA, B_Cell,mouse
sphkap, NA, B_Cell,mouse
sphkap, 1, B_Cell,mouse
sphkap, NA, B_Cell,mouse
sphkap, NA, B_Cell,mouse
usp4, 0, B_Cell,mouse
usp4, 0, B_Cell,mouse
usp4, 0, B_Cell,mouse
usp4, 1, B_Cell,mouse
usp4, NA, B_Cell,mouse
usp4, NA, B_Cell,human
usp4, 0, B_Cell,human
slc4a7, 0, B_Cell,mouse
slc4a7, 0, B_Cell,mouse
slc4a7, 0, B_Cell,mouse
slc4a7, 0, B_Cell,mouse
slc4a7, 0, B_Cell,mouse
slc4a7, NA, B_Cell,human
slc4a7, 0, B_Cell,human
efcc1, NA, B_Cell,mouse
efcc1, NA, B_Cell,mouse
efcc1, NA, B_Cell,mouse
efcc1, NA, B_Cell,mouse
efcc1, NA, B_Cell,mouse
mccc1, 1, B_Cell,mouse
mccc1, NA, B_Cell,mouse
mccc1, 0, B_Cell,mouse
mccc1, 0, B_Cell,mouse
mccc1, NA, B_Cell,mouse
fgf12, NA, B_Cell,mouse
fgf12, NA, B_Cell,mouse
fgf12, 1, B_Cell,mouse
fgf12, 1, B_Cell,mouse
fgf12, NA, B_Cell,mouse
mfi2, NA, B_Cell,mouse
mfi2, NA, B_Cell,mouse
mfi2, NA, B_Cell,mouse
mfi2, NA, B_Cell,mouse
mfi2, NA, B_Cell,mouse
mfi2, NA, B_Cell,human
mfi2, NA, B_Cell,human
pde6b, NA, B_Cell,mouse
pde6b, NA, B_Cell,mouse
pde6b, NA, B_Cell,mouse
pde6b, NA, B_Cell,mouse
pde6b, NA, B_Cell,mouse
sh3bp2, 0, B_Cell,mouse
sh3bp2, 1, B_Cell,mouse
sh3bp2, 1, B_Cell,mouse
sh3bp2, 1, B_Cell,mouse
sh3bp2, 0, B_Cell,mouse
sh3bp2, 0, B_Cell,human
sh3bp2, 0, B_Cell,human
nap1l5, NA, B_Cell,mouse
nap1l5, NA, B_Cell,mouse
nap1l5, 1, B_Cell,mouse
nap1l5, 1, B_Cell,mouse
nap1l5, NA, B_Cell,mouse
grid2, NA, B_Cell,mouse
grid2, NA, B_Cell,mouse
grid2, 1, B_Cell,mouse
grid2, 0, B_Cell,mouse
grid2, NA, B_Cell,mouse
grid2, NA, B_Cell,human
grid2, 1, B_Cell,human
fam149a, NA, B_Cell,mouse
fam149a, 1, B_Cell,mouse
fam149a, 1, B_Cell,mouse
fam149a, 1, B_Cell,mouse
fam149a, NA, B_Cell,mouse
frg1, NA, B_Cell,mouse
frg1, 1, B_Cell,mouse
frg1, 0, B_Cell,mouse
frg1, NA, B_Cell,mouse
frg1, NA, B_Cell,mouse
frg1, 0, B_Cell,human
frg1, NA, B_Cell,human
rhobtb3, NA, B_Cell,mouse
rhobtb3, 0, B_Cell,mouse
rhobtb3, 0, B_Cell,mouse
rhobtb3, NA, B_Cell,mouse
rhobtb3, NA, B_Cell,mouse
rhobtb3, 0, B_Cell,human
rhobtb3, 0, B_Cell,human
nudt12, 1, B_Cell,mouse
nudt12, 1, B_Cell,mouse
nudt12, 1, B_Cell,mouse
nudt12, 1, B_Cell,mouse
nudt12, NA, B_Cell,mouse
znf354c, NA, B_Cell,human
